Day,2018,2019,2020,2021
1,165,356,285,125
8,260,326,273,125
15,277,268,279,90
22,284,331,308,113
29,238,247,335,138
36,216,345,297,124
43,240,307,234,128
50,257,316,282,175
57,317,310,288,183
64,296,339,263,173
71,284,292,250,153
78,289,312,71,133
85,269,307,45,139
92,264,330,20,133
99,267,308,41,108
106,250,292,52,64
113,258,281,50,90
120,260,271,72,94
127,247,274,86,98
134,261,281,103,96
141,290,278,166,122
148,280,252,92,104
155,261,285,82,83
162,237,263,80,84
169,239,333,72,124
176,270,273,86,71
183,335,290,113,92
190,238,290,106,64
197,254,262,92,54
204,254,320,127,56
211,212,325,147,57
218,286,305,131,39
225,307,330,155,45
232,302,328,98,42
239,355,312,121,55
246,308,291,144,54
253,258,293,101,51
260,224,267,120,41
267,255,277,152,71
274,158,330,137,81
281,253,296,150,77
288,244,238,143,52
295,255,219,138,51
302,303,257,118,60
309,269,265,137,62
316,310,268,128,76
323,223,272,101,58
330,260,243,118,55
337,254,274,131,55
344,252,199,139,57
351,196,246,108,51
358,217,255,90,42
