Day,2018,2019,2020,2021
1,1464,1529,1334,846
8,1534,1431,1382,1038
15,1516,1331,1337,1043
22,1542,1216,1343,926
29,1469,1232,1439,795
36,1135,1407,1336,781
43,1323,1418,1304,735
50,1379,1343,1301,857
57,1346,1229,1216,943
64,1363,1270,1225,946
71,1421,1293,1169,822
78,1410,1370,849,913
85,1443,1313,881,896
92,1366,1356,880,971
99,1557,1431,802,841
106,1492,1322,793,910
113,1609,1471,883,948
120,1641,1553,912,1019
127,1595,1473,892,979
134,1671,1537,924,1076
141,1640,1535,945,1084
148,1836,1596,1226,951
155,1761,1724,957,1193
162,1701,1582,980,1131
169,1820,1642,1111,1121
176,1893,1854,1099,1184
183,1720,1575,1187,1142
190,1823,1674,1178,1176
197,1782,1772,1230,1169
204,1776,1849,1229,1199
211,2080,1994,1229,1499
218,1890,1763,1258,1150
225,1899,1649,1270,1169
232,1743,1647,1380,1298
239,1830,1737,1293,1334
246,1666,1549,1197,1233
253,1684,1593,1361,1311
260,1814,1633,1146,1411
267,1792,1539,1220,1375
274,1651,1570,1152,1496
281,1591,1508,1237,1302
288,1640,1550,1201,1341
295,1701,1573,1092,1452
302,1721,1465,1136,1402
309,1563,1331,1160,1348
316,1533,1483,1007,1342
323,1549,1544,1184,1308
330,1610,1479,999,1290
337,1720,1696,1086,1371
344,1727,1579,1014,1436
351,1881,1694,1018,1301
358,1411,1371,854,1107
