Day,2018,2019,2020,2021
1,3802,4606,4148,3199
8,3991,4022,3793,3314
15,3982,3728,3677,3233
22,4231,3535,3877,3221
29,3966,3611,4184,2943
36,3296,4017,3751,2634
43,3899,4124,3728,2589
50,4029,3872,3701,3032
57,4205,3824,3808,3399
64,4073,3906,3736,3249
71,4247,4157,3699,3007
78,4188,4119,2773,3108
85,4203,4189,2711,3029
92,4041,4283,2759,3295
99,4330,4269,2519,3035
106,4243,4151,2574,2886
113,4411,4275,2625,3219
120,5006,4600,2903,3445
127,4556,4426,2738,3185
134,4737,4651,3072,3484
141,4950,4792,3297,3801
148,5306,4676,4075,3389
155,4765,4917,3188,3891
162,4823,4640,3330,3838
169,4878,4841,3767,3818
176,5132,5062,3554,3614
183,5105,4911,3985,3893
190,4861,4860,3698,3540
197,4887,4764,3844,3518
204,4867,4882,3752,3740
211,5291,5083,3692,4051
218,4932,4736,3708,3522
225,5030,4752,3823,3445
232,4746,4635,3848,3661
239,5016,4670,3890,3876
246,4550,4370,3613,3694
253,4581,4665,3587,3936
260,4769,4616,3445,3957
267,4543,4352,3697,3803
274,4461,4487,3563,4076
281,4374,4280,3770,3725
288,4350,4389,3590,3688
295,4623,4144,3509,3618
302,4869,4154,3669,3703
309,4176,3877,3804,3719
316,4056,3912,3126,3396
323,4054,4228,3300,3395
330,4277,3974,3030,3369
337,4464,4330,3297,3554
344,4467,4063,3337,3524
351,4527,4208,3372,3229
358,3821,3838,2920,2990
