Day,2018,2019,2020,2021
1,1447,1874,1781,1393
8,1562,1610,1477,1341
15,1536,1437,1460,1339
22,1742,1382,1544,1303
29,1492,1464,1717,1234
36,1311,1614,1477,1165
43,1675,1709,1560,1154
50,1731,1541,1543,1385
57,1749,1501,1615,1468
64,1718,1633,1659,1525
71,1864,1908,1700,1411
78,1784,1772,1428,1464
85,1720,1831,1400,1496
92,1713,1887,1412,1599
99,1805,1809,1297,1528
106,1800,1909,1268,1396
113,1819,1852,1257,1664
120,2273,2036,1416,1717
127,2016,1970,1373,1535
134,2069,2137,1594,1758
141,2276,2259,1761,2028
148,2346,2088,2328,1682
155,2035,2192,1705,1935
162,2161,2139,1813,1921
169,2113,2138,2041,1893
176,2156,2214,1888,1790
183,2327,2300,2095,2043
190,2091,2198,1939,1726
197,2098,2031,1920,1788
204,2113,2049,1843,1933
211,2165,2035,1738,1898
218,2012,2024,1848,1824
225,2100,2063,1897,1681
232,2021,1993,1863,1783
239,2013,1961,1887,1914
246,1900,1843,1753,1899
253,1989,2135,1662,1988
260,2075,2044,1648,1943
267,1848,1836,1799,1823
274,1942,1857,1627,1903
281,1895,1794,1778,1831
288,1786,1871,1504,1760
295,2023,1761,1514,1608
302,2034,1740,1562,1707
309,1692,1609,1668,1782
316,1531,1539,1349,1473
323,1675,1723,1403,1540
330,1662,1622,1295,1517
337,1747,1736,1278,1624
344,1753,1638,1263,1560
351,1762,1618,1310,1436
358,1647,1682,1300,1426
