Day,2018,2019,2020,2021
1,365,351,214,173
8,349,359,240,174
15,365,350,213,217
22,408,398,224,156
29,421,382,268,156
36,377,365,215,183
43,376,378,221,160
50,328,373,177,167
57,423,430,261,237
64,412,362,178,212
71,402,419,185,208
78,384,394,156,244
85,463,454,195,209
92,405,416,225,210
99,389,405,149,235
106,402,379,216,244
113,400,439,252,197
120,474,388,262,272
127,404,400,229,235
134,409,355,240,181
141,387,349,199,268
148,512,416,175,254
155,431,410,182,230
162,442,396,255,249
169,381,391,209,237
176,433,404,224,254
183,378,402,240,238
190,431,417,219,256
197,432,410,228,273
204,379,414,233,240
211,441,468,223,199
218,411,382,222,228
225,452,381,221,239
232,402,419,246,275
239,460,481,225,240
246,418,405,201,285
253,389,443,233,244
260,406,373,227,246
267,453,442,225,263
274,372,373,224,241
281,381,350,183,198
288,397,372,214,214
295,417,338,157,186
302,429,378,168,236
309,388,392,134,251
316,355,381,187,216
323,317,348,177,169
330,306,275,98,103
