Day,2018,2019,2020,2021
1,2310,2217,1243,1114
8,2387,2377,1329,1075
15,2506,2361,1431,1075
22,2476,2383,1394,1040
29,2533,2405,1454,1095
36,2395,2283,1357,1094
43,2486,2290,1277,1191
50,2398,2319,1305,1103
57,2469,2444,1359,1172
64,2352,2179,1241,1123
71,2352,2236,1183,1127
78,2440,2372,1039,1313
85,2535,2445,1165,1238
92,2444,2215,1175,1211
99,2420,2273,1243,1203
106,2483,2139,1240,1326
113,2391,2248,1320,1253
120,2483,2365,1293,1291
127,2333,2287,1277,1239
134,2521,2218,1315,1351
141,2515,2363,1320,1239
148,2615,2330,1359,1244
155,2421,2187,1194,1330
162,2422,2306,1526,1307
169,2456,2323,1484,1336
176,2446,2335,1430,1400
183,2197,2138,1268,1295
190,2457,2277,1289,1313
197,2527,2322,1442,1288
204,2462,2189,1245,1268
211,2615,2320,1263,1338
218,2404,2215,1244,1289
225,2392,2339,1187,1396
232,2348,2205,1188,1411
239,2491,2272,1255,1507
246,2301,2181,1183,1324
253,2360,2232,1200,1281
260,2510,2166,1111,1423
267,2417,2339,1145,1423
274,2382,2279,1131,1478
281,2327,2146,973,1479
288,2420,2188,985,1409
295,2379,2187,964,1445
302,2608,2354,984,1683
309,2342,2325,942,1444
316,2454,2263,987,1192
323,2500,2271,968,1105
330,2021,1567,693,505
