Day,2018,2019,2020,2021
1,1405,1336,840,591
8,1489,1307,817,711
15,1459,1395,740,702
22,1436,1437,921,615
29,1638,1334,781,701
36,1419,1372,764,613
43,1551,1345,803,729
50,1280,1376,856,642
57,1477,1512,952,697
64,1466,1464,735,713
71,1417,1516,731,707
78,1492,1501,726,795
85,1624,1670,629,782
92,1616,1491,626,770
99,1569,1541,739,804
106,1592,1449,778,805
113,1552,1505,918,847
120,1733,1605,901,803
127,1568,1499,787,823
134,1602,1500,866,869
141,1576,1517,957,924
148,1643,1555,933,875
155,1685,1746,940,876
162,1575,1579,934,912
169,1572,1571,912,859
176,1571,1598,968,939
183,1694,1635,1004,1113
190,1698,1612,852,937
197,1614,1583,878,973
204,1545,1674,857,906
211,1643,1611,934,940
218,1568,1570,853,844
225,1601,1522,942,957
232,1469,1620,953,908
239,1617,1690,918,994
246,1478,1559,974,977
253,1515,1582,823,901
260,1514,1520,891,871
267,1592,1502,931,968
274,1562,1510,910,942
281,1484,1584,726,824
288,1565,1486,765,870
295,1634,1467,703,838
302,1596,1471,757,867
309,1464,1449,658,827
316,1476,1336,664,868
323,1484,1381,718,739
330,1013,841,503,330
