day,2018,2019,2020,2021
1,715,611,449,388
8,1128,587,462,356
15,1091,581,422,333
22,1071,549,453,300
29,989,722,524,337
36,1047,620,438,337
43,1058,536,467,281
50,1083,586,434,375
57,962,694,491,398
64,1004,580,456,410
71,1017,541,239,315
78,873,576,128,325
85,869,699,93,216
92,914,617,110,213
99,983,566,112,157
106,885,461,173,106
113,846,576,257,131
120,977,521,240,186
127,866,496,397,196
134,721,552,447,205
141,745,444,309,198
148,672,495,103,284
155,692,473,98,248
162,615,431,67,252
169,638,375,61,236
176,553,506,50,243
183,674,588,68,224
190,714,476,74,232
197,721,515,86,223
204,602,508,111,217
211,713,547,216,267
218,737,544,227,245
225,676,377,265,230
232,661,491,208,244
239,730,460,293,240
246,591,467,281,236
253,619,480,265,265
260,559,397,251,252
267,445,412,312,254
274,600,557,385,253
281,656,492,324,279
288,629,456,297,268
295,589,454,211,190
302,631,528,187,271
309,615,457,303,248
316,517,461,339,281
323,424,300,217,174
330,646,439,351,270
337,608,355,351,227
344,571,297,281,196
351,411,224,130,134
358,397,337,243,83
365,604,337,243,83
