day,2018,2019,2020,2021
1,1063,1163,1001,748
8,1463,1008,1072,764
15,1570,1206,989,743
22,1521,1193,914,549
29,1274,1064,1043,600
36,1291,1133,1081,703
43,1273,1046,993,754
50,1213,995,1021,729
57,1108,1177,1126,767
64,1225,1039,1108,801
71,1140,1059,663,690
78,1028,1102,474,612
85,1100,1038,399,550
92,1112,1132,431,639
99,1229,1030,601,575
106,1102,1033,686,517
113,1290,1166,792,575
120,1226,1019,781,640
127,1154,1102,887,672
134,1132,1068,791,699
141,1087,1063,1169,570
148,1199,1157,693,668
155,1101,1146,385,728
162,1098,1109,402,735
169,1173,854,373,591
176,1121,995,341,679
183,1023,1147,349,695
190,1239,1154,465,817
197,1207,1160,526,779
204,1248,1118,478,678
211,1257,1093,632,784
218,1150,1238,606,812
225,1236,1006,568,715
232,1228,941,558,747
239,1060,1045,685,698
246,1042,1050,655,748
253,1158,1160,682,806
260,1177,1007,614,862
267,951,1018,644,885
274,1060,1146,751,971
281,1157,1065,821,954
288,1168,1126,662,989
295,1070,930,752,815
302,1024,964,613,857
309,1177,1006,769,863
316,1120,1080,763,898
323,956,760,531,684
330,1168,1054,829,982
337,1201,1032,766,831
344,1190,916,647,859
351,1089,633,573,587
358,754,723,622,402
365,1033,723,622,402
