day,2018,2019,2020,2021
1,4050,4618,3651,3267
8,5811,4390,3631,3138
15,5996,4643,3653,3202
22,5841,4407,3728,2544
29,5379,4651,3880,2906
36,5544,4371,3738,2925
43,5457,4103,3787,2897
50,5421,4271,3719,3203
57,5082,4651,3967,3444
64,5172,4495,3947,3420
71,5285,4427,2364,3183
78,4676,4466,1732,2761
85,4902,4692,1456,2398
92,4994,4625,1644,2707
99,5208,4391,1894,2448
106,5068,4223,2256,2133
113,5056,4582,2754,2344
120,5348,4360,2722,2662
127,5061,4292,3239,2813
134,4746,4355,3250,3001
141,4591,4206,3675,2495
148,4718,4413,2102,3105
155,4655,4262,1667,3115
162,4549,4116,1570,3066
169,4690,3664,1684,2645
176,4288,4415,1544,2838
183,4579,4550,1492,2975
190,4906,4359,1688,3187
197,4826,4381,1848,3304
204,4861,4276,1944,2866
211,4907,4422,2208,3209
218,4755,4409,2301,3276
225,4919,3501,2334,3082
232,4676,3593,2207,3039
239,4546,3993,2735,2838
246,4331,4126,2654,3062
253,4594,4136,2554,3308
260,4604,3617,2590,3362
267,3794,3828,2808,3305
274,4347,4157,2986,3416
281,4641,3832,3018,3493
288,4494,3945,2910,3453
295,4291,3523,2763,2852
302,4256,3791,2452,3241
309,4345,3683,2844,3265
316,4184,4060,3067,3249
323,3563,2879,2417,2398
330,4595,3775,3284,3325
337,4573,3595,3250,3188
344,4303,3066,2543,3072
351,3717,2259,2242,2206
358,3125,3053,2720,1382
365,4513,3053,2720,1382
