day,2018,2019,2020,2021
1,849,1010,941,896
8,1003,993,873,830
15,1118,944,914,823
22,1045,967,1000,725
29,1059,1004,997,852
36,1102,947,925,786
43,1056,898,932,841
50,1108,940,940,905
57,1006,981,993,946
64,1021,1007,1077,933
71,1097,1018,702,957
78,1044,1057,563,868
85,1032,1082,559,832
92,1041,1108,540,826
99,1068,1085,566,792
106,1080,1065,697,741
113,1078,1148,777,846
120,1190,1128,853,854
127,1161,1078,914,911
134,1138,1152,847,984
141,1087,1157,864,840
148,1104,1112,561,1004
155,1131,1115,646,997
162,1181,1049,686,936
169,1115,1093,739,901
176,1009,1226,671,935
183,1109,1105,661,1023
190,1132,1161,692,986
197,1097,1160,719,1078
204,1212,1081,795,942
211,1122,1093,738,995
218,1135,1107,756,1033
225,1208,941,805,1055
232,1095,913,760,953
239,1039,1053,831,908
246,1128,1129,831,1015
253,1091,1090,775,1036
260,1047,968,840,1037
267,1014,959,846,1052
274,1073,1049,861,1072
281,1115,978,898,1091
288,1013,1025,862,1026
295,1000,925,800,962
302,1002,944,748,1008
309,956,919,792,1020
316,964,1067,818,998
323,838,847,790,813
330,1079,999,869,981
337,969,949,912,989
344,1006,858,811,900
351,892,694,757,755
358,794,886,806,414
365,1054,886,806,414
