day,2018,2019,2020,2021
1,15,6,16,11
8,17,35,23,21
15,13,20,16,24
22,16,18,30,19
29,19,12,28,15
36,17,22,28,21
43,15,19,26,17
50,14,15,16,10
57,15,32,26,12
64,15,19,33,13
71,11,25,17,23
78,19,31,21,15
85,19,31,24,17
92,9,28,25,20
99,8,27,21,21
106,20,14,33,16
113,9,26,25,10
120,13,26,27,14
127,17,21,30,13
134,14,28,21,22
141,16,18,23,18
148,13,15,17,18
155,5,21,16,12
162,12,23,16,18
169,20,26,13,12
176,13,19,13,14
183,13,13,25,14
190,9,26,15,15
197,13,21,12,15
204,11,17,24,11
211,10,27,21,15
218,11,30,22,16
225,14,23,30,18
232,14,18,21,16
239,24,22,18,18
246,10,31,21,19
253,16,37,18,14
260,17,23,21,12
267,16,24,31,14
274,16,31,18,17
281,13,30,18,14
288,16,19,17,13
295,11,22,20,16
302,13,29,14,15
309,24,29,12,12
316,18,27,10,14
323,8,17,15,9
330,15,26,6,11
337,12,23,19,11
344,21,25,22,11
351,18,17,17,17
358,7,12,9,4
