day,2018,2019,2020,2021
1,69,58,49,41
8,25,24,21,20
15,20,22,14,22
22,20,21,34,24
29,25,28,23,39
36,27,26,10,26
43,21,30,27,29
50,20,26,32,28
57,16,28,23,37
64,13,23,31,30
71,25,11,19,27
78,28,25,25,27
85,20,33,24,24
92,31,25,29,30
99,18,28,36,25
106,18,20,25,28
113,20,29,27,23
120,23,23,33,29
127,32,21,24,40
134,27,24,19,31
141,24,22,31,31
148,27,26,36,26
155,24,19,32,37
162,18,20,20,39
169,20,22,25,31
176,22,18,34,28
183,26,28,34,34
190,29,26,22,31
197,23,20,17,27
204,35,27,24,23
211,29,25,16,30
218,24,24,31,24
225,29,33,27,26
232,28,19,31,26
239,35,24,25,28
246,30,26,32,27
253,22,19,34,29
260,25,32,23,33
267,24,38,26,29
274,35,34,33,33
281,29,25,27,27
288,33,26,29,34
295,22,18,29,14
302,33,23,19,28
309,24,19,31,24
316,17,17,27,20
323,29,23,36,32
330,30,20,33,25
337,28,24,24,23
344,24,26,23,20
351,32,16,12,24
358,26,11,35,17
