day,2018,2019,2020,2021
1,245,231,257,225
8,176,190,210,153
15,187,206,185,180
22,156,194,232,170
29,190,162,202,193
36,182,182,165,208
43,166,179,181,241
50,180,166,187,201
57,163,179,182,206
64,146,170,190,188
71,158,143,194,210
78,157,185,176,167
85,191,213,182,156
92,187,182,188,174
99,168,218,182,169
106,168,164,184,156
113,143,219,192,167
120,162,193,184,174
127,164,187,159,177
134,197,183,187,209
141,179,180,171,173
148,157,189,165,175
155,189,201,161,164
162,126,192,148,206
169,156,192,163,165
176,150,156,163,177
183,184,180,185,168
190,182,190,134,192
197,181,162,138,167
204,178,174,134,152
211,165,175,158,171
218,152,185,167,147
225,172,174,172,188
232,174,197,156,190
239,196,174,146,174
246,163,187,159,162
253,181,165,156,182
260,176,188,168,216
267,181,181,167,196
274,248,246,177,241
281,166,186,155,186
288,188,201,183,185
295,159,191,197,171
302,182,185,175,175
309,179,171,162,168
316,154,189,177,176
323,155,170,183,172
330,192,179,167,169
337,167,180,185,182
344,202,183,187,167
351,192,161,182,180
358,157,188,215,150
