day,2018,2019,2020,2021
1,135,127,160,147
8,125,103,133,101
15,132,147,141,116
22,102,131,156,114
29,129,115,135,140
36,117,120,108,137
43,103,117,125,176
50,129,107,128,149
57,112,108,124,136
64,102,101,112,131
71,102,84,143,143
78,90,110,114,114
85,127,131,122,108
92,130,107,114,112
99,115,145,115,102
106,105,112,112,98
113,99,137,123,116
120,109,119,115,119
127,95,126,98,118
134,127,112,134,139
141,110,112,96,102
148,101,133,92,104
155,137,138,101,99
162,88,123,98,140
169,95,114,114,107
176,94,108,97,122
183,122,122,112,116
190,128,122,89,141
197,117,102,94,109
204,119,109,77,102
211,109,111,105,112
218,103,108,105,97
225,112,110,99,128
232,113,141,91,137
239,122,97,94,109
246,106,107,98,105
253,118,97,94,121
260,111,127,103,153
267,120,113,105,134
274,158,155,114,163
281,107,114,98,138
288,113,134,125,131
295,110,136,131,122
302,122,117,125,112
309,113,98,102,119
316,98,131,133,126
323,106,114,108,125
330,127,119,114,121
337,111,121,127,128
344,128,125,123,127
351,126,116,139,128
358,100,140,155,107
