day,2018,2019,2020,2021
1,57,76,65,42
8,68,81,51,39
15,70,75,53,35
22,76,69,68,45
29,71,48,50,38
36,75,56,65,40
43,86,69,65,27
50,65,74,57,49
57,78,77,85,34
64,98,53,61,17
71,77,61,47,14
78,55,66,36,15
85,52,56,43,18
92,64,64,41,19
99,66,81,56,28
106,68,70,56,26
113,50,93,53,29
120,71,52,63,22
127,83,56,53,18
134,73,45,45,22
141,90,45,55,25
148,68,47,28,36
155,78,69,13,23
162,72,61,26,19
169,58,52,23,18
176,69,47,27,21
183,78,60,26,33
190,47,54,16,26
197,83,73,21,26
204,75,62,14,28
211,90,46,25,31
218,60,50,20,26
225,76,52,22,26
232,73,53,29,25
239,75,85,29,15
246,72,58,26,18
253,59,51,18,23
260,67,46,27,23
267,91,54,25,32
274,65,62,32,17
281,55,47,36,24
288,52,56,36,20
295,49,58,28,24
302,71,49,34,28
309,71,59,33,33
316,67,50,41,28
323,47,59,35,15
330,58,38,25,29
337,72,65,37,29
344,79,63,29,32
351,77,49,31,29
358,78,62,29,21
