day,2018,2019,2020,2021
1,895,765,835,907
8,827,883,812,817
15,819,888,823,873
22,803,806,869,755
29,882,762,918,894
36,804,548,789,803
43,864,669,807,722
50,798,781,743,850
57,848,749,950,857
64,744,738,1311,876
71,848,814,1098,825
78,857,791,846,720
85,906,757,1067,789
92,826,696,869,781
99,840,771,904,726
106,781,861,879,785
113,909,782,961,812
120,907,761,1609,762
127,853,701,2563,869
134,895,836,3331,854
141,941,819,1572,923
148,840,859,932,875
155,859,788,656,910
162,922,761,520,895
169,893,789,753,815
176,881,917,830,781
183,817,806,791,930
190,816,855,710,862
197,928,888,754,821
204,861,883,825,878
211,902,842,843,967
218,865,876,871,820
225,821,875,861,880
232,865,907,875,950
239,886,899,955,979
246,844,772,909,893
253,827,887,940,968
260,960,891,973,1080
267,863,950,937,1035
274,881,914,1076,1072
281,829,845,998,978
288,901,822,973,1065
295,870,883,953,1082
302,944,881,899,1103
309,806,860,904,1020
316,849,868,943,982
323,863,896,870,964
330,871,886,955,1043
337,853,850,968,906
344,884,840,964,932
351,946,866,989,989
358,819,708,847,788
