day,2018,2019,2020,2021
1,1456,1388,1330,1347
8,1424,1508,1259,1199
15,1385,1459,1267,1317
22,1338,1366,1385,1180
29,1437,1276,1423,1346
36,1396,960,1268,1219
43,1412,1182,1300,1116
50,1308,1318,1230,1308
57,1450,1274,1556,1343
64,1294,1253,1761,1270
71,1395,1364,1571,1217
78,1361,1347,1280,1106
85,1497,1320,1559,1160
92,1392,1284,1365,1148
99,1373,1303,1436,1122
106,1343,1464,1373,1255
113,1467,1358,1423,1185
120,1559,1325,2094,1233
127,1436,1254,3051,1293
134,1493,1319,3816,1277
141,1631,1324,2037,1354
148,1403,1394,1461,1398
155,1451,1280,987,1396
162,1494,1280,867,1341
169,1513,1283,1224,1258
176,1500,1463,1285,1281
183,1487,1350,1258,1464
190,1403,1415,1134,1381
197,1587,1489,1275,1329
204,1475,1422,1272,1408
211,1544,1359,1286,1479
218,1468,1414,1377,1302
225,1421,1431,1357,1394
232,1436,1435,1395,1458
239,1530,1516,1405,1456
246,1427,1286,1389,1397
253,1395,1362,1391,1434
260,1565,1342,1436,1523
267,1465,1443,1393,1557
274,1421,1430,1537,1556
281,1428,1348,1475,1485
288,1460,1353,1449,1545
295,1404,1381,1418,1612
302,1581,1362,1419,1609
309,1404,1382,1312,1518
316,1414,1368,1341,1481
323,1414,1387,1273,1403
330,1424,1326,1311,1576
337,1410,1372,1378,1397
344,1450,1347,1366,1446
351,1495,1309,1401,1451
358,1357,1179,1230,1168
