day,2018,2019,2020,2021
1,459,492,387,350
8,461,490,358,316
15,455,443,356,353
22,409,428,405,336
29,432,417,410,371
36,451,317,375,335
43,407,401,381,338
50,395,415,384,366
57,471,404,465,411
64,397,418,348,340
71,417,446,382,330
78,395,437,361,332
85,489,451,402,315
92,447,471,413,315
99,422,404,424,329
106,443,478,404,401
113,464,436,357,308
120,519,471,374,401
127,447,455,394,370
134,473,391,386,360
141,538,420,369,364
148,432,438,455,440
155,468,387,293,412
162,432,417,295,386
169,509,392,403,386
176,486,453,388,442
183,529,427,404,455
190,490,446,373,447
197,504,467,461,441
204,486,415,399,446
211,492,414,383,443
218,486,419,441,408
225,454,455,439,435
232,439,409,438,433
239,508,450,388,424
246,448,413,408,438
253,450,376,386,396
260,485,356,401,376
267,451,399,396,445
274,424,415,378,423
281,493,410,392,435
288,443,427,392,418
295,434,381,382,467
302,519,386,431,431
309,469,415,325,417
316,440,408,315,409
323,467,383,321,372
330,440,356,294,455
337,436,415,331,417
344,426,396,338,424
351,431,364,338,407
358,403,367,314,327
